股票代码,股票名称,所属行业,得分,5日均成交量,成交量
000001,平安银行,银行,51.268,1442406.4,1762189.0
000002,万  科Ａ,房地产开发,75.803,783014.2,1495445.0
000006,深振业Ａ,房地产开发,66.142,176587.4,224704.0
000007,全新好,房地产服务,54.524,64693.4,25437.0
000008,神州高铁,交运设备,71.711,427732.6,595910.0
000009,中国宝安,综合行业,93.158,215200.2,134179.0
000010,美丽生态,工程建设,87.19,171947.6,101283.0
000011,深物业A,房地产开发,82.729,45678.8,54770.0
000012,南  玻Ａ,玻璃玻纤,78.704,262763.8,159499.0
000014,沙河股份,房地产开发,50.319,98776.0,311770.0
000016,深康佳Ａ,家电行业,74.662,148373.6,122949.0
000017,深中华A,交运设备,56.265,50393.0,37397.0
000019,深粮控股,贸易行业,51.339,63671.0,44740.0
000020,深华发Ａ,光学光电子,55.273,20144.6,14717.0
000021,深科技,消费电子,48.0,1294195.6,585451.0
000023,深天地Ａ,水泥建材,92.835,28017.8,30061.0
000025,特  力Ａ,汽车服务,71.457,46890.4,45393.0
000026,飞亚达,珠宝首饰,34.05,65484.6,40386.0
000027,深圳能源,电力行业,62.953,240985.0,358255.0
000028,国药一致,医药商业,16.527,96664.8,61783.0
000029,深深房Ａ,房地产开发,52.354,37156.6,54078.0
000030,富奥股份,汽车零部件,89.804,94852.0,88027.0
000031,大悦城,房地产开发,62.609,236366.0,351282.0
000032,深桑达Ａ,通信设备,32.296,390392.0,368148.0
000034,神州数码,计算机设备,33.685,326137.2,160464.0
000035,中国天楹,环保行业,78.437,171664.8,166084.0
000036,华联控股,房地产开发,55.172,168433.2,193473.0
000037,深南电A,电力行业,83.044,37610.2,18211.0
000039,中集集团,通用设备,96.809,132711.2,119181.0
000040,东旭蓝天,电力行业,59.512,393991.2,207428.0
000042,中洲控股,房地产开发,66.43,40943.8,46375.0
000045,深纺织Ａ,光学光电子,51.715,60139.2,39444.0
000046,泛海控股,多元金融,94.34,1650437.4,1717757.0
000048,京基智农,房地产开发,46.263,67041.0,55274.0
000049,德赛电池,电池,97.927,64028.8,48021.0
000050,深天马Ａ,光学光电子,90.845,145815.2,181843.0
000055,方大集团,装修装饰,49.398,109090.6,109705.0
000056,皇庭国际,房地产服务,85.079,378241.0,405516.0
000058,深 赛 格,商业百货,58.974,67162.0,57580.0
000059,华锦股份,石油行业,62.648,141539.2,114938.0
000060,中金岭南,有色金属,17.808,459475.2,404019.0
000061,农 产 品,贸易行业,39.474,207292.2,203427.0
000062,深圳华强,电子元件,79.224,79084.4,49865.0
000063,中兴通讯,通信设备,29.225,1528038.0,678094.0
000065,北方国际,工程建设,3.123,721457.0,942254.0
000066,中国长城,计算机设备,57.546,748037.2,730924.0
000068,华控赛格,环保行业,66.393,103162.2,146706.0
000069,华侨城Ａ,房地产开发,82.313,507489.0,770189.0
000070,特发信息,通信设备,48.834,435061.0,265365.0
000078,海王生物,医药商业,58.261,222494.0,185507.0
000088,盐 田 港,航运港口,3.704,134098.0,176703.0
000089,深圳机场,航空机场,38.961,143243.4,138560.0
000090,天健集团,工程建设,83.939,388935.2,214914.0
000096,广聚能源,石油行业,85.029,18044.6,14499.0
000099,中信海直,航空机场,35.22,127838.2,90367.0
000100,TCL科技,光学光电子,88.274,2182801.4,1534480.0
000151,中成股份,贸易行业,65.166,146638.0,73148.0
000153,丰原药业,化学制药,66.924,224480.4,94798.0
000155,川能动力,电力行业,96.245,176025.4,113396.0
000156,华数传媒,文化传媒,10.602,329019.2,299128.0
000157,中联重科,工程机械,49.402,433461.4,383254.0
000158,常山北明,综合行业,60.517,731386.8,645158.0
000159,国际实业,石油行业,69.369,90386.6,46177.0
000166,申万宏源,证券,50.0,1193927.8,2303821.0
000301,东方盛虹,化纤行业,88.583,307687.6,374518.0
000333,美的集团,家电行业,62.638,318425.4,342123.0
000338,潍柴动力,汽车零部件,62.401,582291.4,1447001.0
000400,许继电气,电网设备,51.889,281797.2,170516.0
000401,冀东水泥,水泥建材,82.21,152763.0,179115.0
000402,金 融 街,房地产开发,88.026,174187.6,232630.0
000403,派林生物,生物制品,67.321,59151.4,132539.0
000404,长虹华意,家电行业,48.356,561233.8,385362.0
000407,胜利股份,燃气,88.764,84952.0,49151.0
000408,藏格矿业,化肥行业,95.522,95768.4,42250.0
000409,云鼎科技,互联网服务,34.426,161068.6,176201.0
000411,英特集团,医药商业,49.934,67524.0,129766.0
000413,东旭光电,光学光电子,72.414,440967.8,278247.0
000415,渤海租赁,多元金融,46.0,502129.6,438228.0
000416,民生控股,多元金融,95.406,375887.2,299266.0
000417,合肥百货,商业百货,43.182,191540.6,149316.0
000419,通程控股,商业百货,68.793,72523.6,40752.0
000420,吉林化纤,化纤行业,70.166,257508.2,177562.0
000421,南京公用,燃气,68.852,63982.2,45519.0
000422,湖北宜化,化学原料,93.137,111285.2,70784.0
000423,东阿阿胶,中药,9.731,85798.8,41815.0
000425,徐工机械,工程机械,33.754,669997.6,670642.0
000426,兴业矿业,有色金属,27.128,337225.0,251679.0
000428,华天酒店,旅游酒店,55.696,324954.2,157383.0
000429,粤高速Ａ,铁路公路,25.14,83137.6,88060.0
000430,张家界,旅游酒店,41.87,140309.0,75354.0
000488,晨鸣纸业,造纸印刷,90.596,125875.6,123426.0
000498,山东路桥,工程建设,66.338,295478.8,155357.0
000501,武商集团,商业百货,33.452,82054.8,81460.0
000503,国新健康,软件开发,71.003,197917.8,163184.0
000504,南华生物,医疗服务,91.596,46685.4,32318.0
000505,京粮控股,农牧饲渔,83.693,53732.4,41863.0
000506,中润资源,贵金属,43.333,1142944.2,684890.0
000507,珠海港,航运港口,53.846,112365.2,117572.0
000509,华塑控股,光学光电子,65.574,63655.0,41621.0
000510,新金路,化学原料,60.263,93662.2,38228.0
000513,丽珠集团,化学制药,51.253,85356.0,49326.0
000514,渝 开 发,房地产开发,78.719,112003.2,219934.0
000516,国际医学,医疗服务,43.126,221577.4,237787.0
000517,荣安地产,房地产开发,56.311,228386.4,891460.0
000518,四环生物,生物制品,88.372,80583.0,70792.0
000519,中兵红箭,专用设备,95.236,349849.2,231258.0
000520,长航凤凰,航运港口,86.42,90234.4,80572.0
000521,长虹美菱,家电行业,13.442,980315.0,574486.0
000523,广州浪奇,美容护理,79.724,80583.0,62466.0
000524,岭南控股,旅游酒店,54.485,120579.2,55575.0
000526,学大教育,教育,12.514,95994.0,121323.0
000528,柳    工,工程机械,14.17,380243.2,310633.0
